"sa1","hstress","tot_dwellings","hstress_prop"
2124223,42,95,0.442105263157895
2112321,50,124,0.403225806451613
2124909,146,364,0.401098901098901
2111719,16,40,0.4
2144333,66,171,0.385964912280702
2124341,43,112,0.383928571428571
2130432,39,102,0.382352941176471
2131157,42,111,0.378378378378378
2124340,41,109,0.376146788990826
2124947,35,94,0.372340425531915
2131120,75,202,0.371287128712871
2134806,82,221,0.3710407239819
2130528,46,124,0.370967741935484
2124949,69,187,0.368983957219251
2114215,28,76,0.368421052631579
2136617,91,248,0.366935483870968
2127125,29,80,0.3625
2124907,53,148,0.358108108108108
2134820,112,313,0.357827476038339
2132807,61,171,0.35672514619883
2134835,62,176,0.352272727272727
2131729,29,83,0.349397590361446
2124712,41,118,0.347457627118644
2131133,52,150,0.346666666666667
2124705,51,149,0.342281879194631
2132033,67,196,0.341836734693878
2124708,55,161,0.341614906832298
2124926,51,152,0.335526315789474
2124928,51,153,0.333333333333333
2136630,8,24,0.333333333333333
2111519,54,163,0.331288343558282
2131725,40,122,0.327868852459016
2124703,53,162,0.327160493827161
2133444,26,80,0.325
2124903,51,157,0.32484076433121
2131135,51,157,0.32484076433121
2124715,60,185,0.324324324324324
2131111,55,170,0.323529411764706
2129265,21,65,0.323076923076923
2146005,54,168,0.321428571428571
2146739,36,112,0.321428571428571
2124930,25,78,0.320512820512821
2131112,32,100,0.32
2136559,37,116,0.318965517241379
2116344,98,308,0.318181818181818
2124701,47,148,0.317567567567568
2131142,80,253,0.316205533596838
2131136,60,190,0.315789473684211
2133514,70,222,0.315315315315315
2136963,46,146,0.315068493150685
2146705,69,219,0.315068493150685
2124723,53,169,0.313609467455621
2134834,58,185,0.313513513513514
2131012,65,208,0.3125
2131140,65,208,0.3125
2135711,99,317,0.312302839116719
2124307,19,61,0.311475409836066
2124906,33,106,0.311320754716981
2124211,40,129,0.310077519379845
2130512,39,126,0.30952380952381
2124920,47,152,0.309210526315789
2124717,44,143,0.307692307692308
2137232,51,166,0.307228915662651
2136545,62,203,0.305418719211823
2124904,40,131,0.305343511450382
2131104,29,95,0.305263157894737
2124301,38,125,0.304
2144210,24,79,0.30379746835443
2142802,98,323,0.303405572755418
2131132,108,356,0.303370786516854
2133308,27,89,0.303370786516854
2124217,33,109,0.302752293577982
2130056,39,129,0.302325581395349
2124929,29,96,0.302083333333333
2136964,57,189,0.301587301587302
2131159,63,209,0.301435406698565
2136623,66,219,0.301369863013699
2124724,57,190,0.3
2133405,47,157,0.299363057324841
2124324,23,77,0.298701298701299
2134831,69,231,0.298701298701299
2143039,46,154,0.298701298701299
