sa2,dw,lowinc_hh,hstress,prop_stress
Abbotsford,2726,298,241,0.0884079236977256
Airport West,1551,254,218,0.14055448098001289
Albert Park,4201,411,306,0.0728398000476077
Alphington - Fairfield,2157,317,251,0.11636532220676866
Altona,2851,488,400,0.14030164854437038
Altona Meadows,4167,1095,913,0.2191024718022558
Altona North,2833,749,588,0.20755382986233675
Ardeer - Albion,1724,620,503,0.2917633410672854
Armadale,2324,289,249,0.10714285714285714
Ascot Vale,4019,864,696,0.17317740731525255
Ashburton (Vic.),1351,206,143,0.10584752035529238
Ashwood - Chadstone,4338,1096,892,0.20562471184877823
Aspendale Gardens - Waterways,1563,178,123,0.07869481765834933
Bacchus Marsh,4561,1173,926,0.20302565226923922
Balwyn,2806,512,406,0.14468995010691377
Balwyn North,3280,557,434,0.13231707317073171
Bayswater,3035,734,587,0.19341021416803955
Bayswater North,2714,536,415,0.1529108327192336
Beaconsfield - Officer,3125,455,374,0.11968
Beaumaris,2184,195,142,0.06501831501831502
Belgrave - Selby,1960,314,235,0.11989795918367346
Bentleigh - McKinnon,4614,771,613,0.1328565236237538
Bentleigh East (North),3058,490,396,0.12949640287769784
Bentleigh East (South),2641,422,320,0.121166224914805
Berwick - North,4660,840,678,0.14549356223175966
Berwick - South,6023,1098,928,0.15407604183961482
Blackburn,4244,694,557,0.13124410933081998
Blackburn South,2111,474,341,0.1615348176219801
Boronia,5401,1300,1061,0.19644510275874838
Box Hill,5078,1414,1189,0.234147302087436
Box Hill North,3546,697,572,0.16130851663846588
Braybrook,4480,1559,1209,0.26986607142857144
Brighton (Vic.),4271,439,326,0.0763287286349801
Brighton East,2939,354,276,0.09390949302483838
Broadmeadows,2699,1395,1180,0.43719896257873286
Brunswick,7808,1216,1034,0.13242827868852458
Brunswick East,3546,489,424,0.11957134799774394
Brunswick West,3964,811,680,0.1715438950554995
Bulleen,1696,275,218,0.12853773584905662
Bundoora - East,1690,409,330,0.1952662721893491
Bundoora - North,1557,390,348,0.22350674373795762
Bundoora - West,1020,285,239,0.23431372549019608
Bunyip - Garfield,1552,302,199,0.12822164948453607
Burnside,861,224,162,0.18815331010452963
Burnside Heights,1285,307,233,0.18132295719844357
Burwood,2585,803,670,0.25918762088974856
Burwood East,1690,402,330,0.1952662721893491
Cairnlea,1632,424,337,0.20649509803921567
Camberwell,3971,477,386,0.0972047343238479
Campbellfield - Coolaroo,2678,1468,1248,0.46601941747572817
Carlton,7007,1992,1779,0.2538889681746825
Carlton North - Princes Hill,2173,292,244,0.11228716060745512
Carnegie,5055,1025,878,0.17368941641938673
Caroline Springs,4412,898,712,0.1613780598368087
Carrum - Patterson Lakes,2607,400,315,0.12082853855005754
Carrum Downs,5442,1364,1183,0.21738331495773613
Caulfield - North,4744,817,673,0.14186340640809444
Caulfield - South,3629,508,377,0.10388536786993662
Chelsea - Bonbeach,3902,760,629,0.1611993849308047
Chelsea Heights,1017,166,130,0.127826941986234
Cheltenham - Highett (East),5280,948,776,0.14696969696969697
Cheltenham - Highett (West),2455,361,297,0.1209775967413442
Chirnside Park,1881,259,205,0.1089845826687932
Clarinda - Oakleigh South,1904,473,365,0.19170168067226892
Clayton,5314,1690,1524,0.2867896123447497
Clayton South,2605,778,669,0.25681381957773514
Coburg,6193,1134,905,0.14613273050217987
Coburg North,1668,358,254,0.15227817745803357
Collingwood,3059,719,593,0.19385420071918927
